web-scraper-order,web-scraper-start-url,product_link,product_link-href,Name,Number_Reviews,Manufacturer,Price,Star_Rating,Review_Link,Review_Link_Href,Review_Count
1580712906-45,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Brew City Beer Battered Jalapeno Bottle Caps, 2.5 Pound -- 6 per case.",https://www.amazon.com/McCain-Battered-Jalapeno-Bottle-Pound/dp/B00B0456H2/ref=sr_1_4?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-4,"McCain Brew City Beer Battered Jalapeno Bottle Caps, 2.5 Pound -- 6 per case.",1 rating,McCain,null,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Battered-Jalapeno-Bottle-Pound/product-reviews/B00B0456H2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712917-48,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Brew City Cheddar Cheese Curd Pint - Appetizer, 3 Pound -- 4 per case.",https://www.amazon.com/McCain-Brew-City-Cheddar-Cheese/dp/B00B04D7KU/ref=sr_1_1?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-1,"McCain Brew City Cheddar Cheese Curd Pint - Appetizer, 3 Pound -- 4 per case.",1 rating,McCain,null,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Brew-City-Cheddar-Cheese/product-reviews/B00B04D7KU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712888-40,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Poppers Breaded Ovenable Cheddar Cheese Stuffed Jalapeno - Appetizer, 2 Pound -- 6 per case.",https://www.amazon.com/McCain-Poppers-Breaded-Ovenable-Jalapeno/dp/B073Y5CJGZ/ref=sr_1_9?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-9,"McCain Poppers Breaded Ovenable Cheddar Cheese Stuffed Jalapeno - Appetizer, 2 Pound -- 6 per case.",2 ratings,McCain,null,5.0 out of 5 stars,See all 2 customer reviews,https://www.amazon.com/McCain-Poppers-Breaded-Ovenable-Jalapeno/product-reviews/B073Y5CJGZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2
1580712877-37,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,From the Ground Up: The First Fifty Years of McCain Foods,https://www.amazon.com/Ground-Up-First-Fifty-McCain/dp/097837200X/ref=sr_1_12?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-12,From the Ground Up: The First Fifty Years of McCain Foods,1 rating,null,null,5.0 out of 5 stars,See more recommendations,https://www.amazon.com/gp/profile/follow/recommendations/?ref_=dbs_p_pbk_r00_abau_000000,0
1580712913-47,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Ore Ida Golden Potato Patty, 2.25 Ounce -- 120 per case.",https://www.amazon.com/McCain-Golden-Potato-Patty-Ounce/dp/B00B0445OW/ref=sr_1_2?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-2,"McCain Ore Ida Golden Potato Patty, 2.25 Ounce -- 120 per case.",3 ratings,McCain,null,5.0 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/McCain-Golden-Potato-Patty-Ounce/product-reviews/B00B0445OW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
1580712822-22,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Mozzaluna Breaded Mozzarella Cheese - Appetizer, 4 Pound -- 2 per case.",https://www.amazon.com/McCain-Mozzaluna-Breaded-Mozzarella-Cheese/dp/B00B04DKVG/ref=sr_1_28?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-28,"McCain Mozzaluna Breaded Mozzarella Cheese - Appetizer, 4 Pound -- 2 per case.",1 rating,McCain,null,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Mozzaluna-Breaded-Mozzarella-Cheese/product-reviews/B00B04DKVG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712881-38,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Poppers Breaded Cream Cheese Jalapeno Peppers - Appetizer, 4 Pound -- 2 per case.",https://www.amazon.com/McCain-Poppers-Breaded-Jalapeno-Peppers/dp/B073XZ8NGS/ref=sr_1_11?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-11,"McCain Poppers Breaded Cream Cheese Jalapeno Peppers - Appetizer, 4 Pound -- 2 per case.",1 rating,McCain,null,3.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Poppers-Breaded-Jalapeno-Peppers/product-reviews/B073XZ8NGS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712896-42,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Anchor Breaded Cheddar Cheese Cube - Appetizer, 3 Pound -- 6 per case.",https://www.amazon.com/McCain-Anchor-Breaded-Cheddar-Cheese/dp/B00B04BSWE/ref=sr_1_7?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-7,"McCain Anchor Breaded Cheddar Cheese Cube - Appetizer, 3 Pound -- 6 per case.",1 rating,McCain,null,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Anchor-Breaded-Cheddar-Cheese/product-reviews/B00B04BSWE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712826-23,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Golden Crisp Fryersaver Battered Sweet Corn Nugget - Appetizer, 2 Pound -- 6 per case.",https://www.amazon.com/McCain-Golden-Fryersaver-Battered-Nugget/dp/B073XZ87CP/ref=sr_1_27?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-27,"McCain Golden Crisp Fryersaver Battered Sweet Corn Nugget - Appetizer, 2 Pound -- 6 per case.",3 ratings,McCain,null,2.4 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/McCain-Golden-Fryersaver-Battered-Nugget/product-reviews/B073XZ87CP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
1580712910-46,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Ore Ida Smiles Fun Shaped Mashed Potato, 4 Pound -- 6 per case.",https://www.amazon.com/McCain-Smiles-Shaped-Mashed-Potato/dp/B00B0468T2/ref=sr_1_3?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-3,"McCain Ore Ida Smiles Fun Shaped Mashed Potato, 4 Pound -- 6 per case.",3 ratings,McCain,null,4.3 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/McCain-Smiles-Shaped-Mashed-Potato/product-reviews/B00B0468T2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
