web-scraper-order,web-scraper-start-url,product_link,product_link-href,Name,Number_Reviews,Manufacturer,Price,Star_Rating,Review_Link,Review_Link_Href,Review_Count
1573497189-114,https://www.amazon.com/s?k=fao+schwarz&rh=p_89%3AF.A.O.+Schwarz%7CFAO+Schwarz&dc&page=5&fst=as%3Aoff&qid=1573496340&rnid=2528832011&ref=sr_pg_5,FAO Schwarz Big Top Playset,https://www.amazon.com/FAO-Schwarz-Big-Top-Playset/dp/B00BH0QQXM/ref=sr_1_206?fst=as%3Aoff&keywords=fao+schwarz&qid=1573496936&refinements=p_89%3AF.A.O.+Schwarz%7CFAO+Schwarz&rnid=2528832011&sr=8-206,FAO Schwarz Big Top Playset,2 ratings,FAO Schwarz,null,5.0 out of 5 stars,See all 2 customer reviews,https://www.amazon.com/FAO-Schwarz-Big-Top-Playset/product-reviews/B00BH0QQXM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2
1580712881-38,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Poppers Breaded Cream Cheese Jalapeno Peppers - Appetizer, 4 Pound -- 2 per case.",https://www.amazon.com/McCain-Poppers-Breaded-Jalapeno-Peppers/dp/B073XZ8NGS/ref=sr_1_11?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-11,"McCain Poppers Breaded Cream Cheese Jalapeno Peppers - Appetizer, 4 Pound -- 2 per case.",1 rating,McCain,null,3.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Poppers-Breaded-Jalapeno-Peppers/product-reviews/B073XZ8NGS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712750-3,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Crinkle Cut Potato Fry, 5 Pound -- 6 per case.",https://www.amazon.com/McCain-Crinkle-Cut-Potato-Pound/dp/B00B04BP6S/ref=sr_1_47?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-47,"McCain Crinkle Cut Potato Fry, 5 Pound -- 6 per case.",null,McCain,null,null,null,,0
1580712822-22,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Mozzaluna Breaded Mozzarella Cheese - Appetizer, 4 Pound -- 2 per case.",https://www.amazon.com/McCain-Mozzaluna-Breaded-Mozzarella-Cheese/dp/B00B04DKVG/ref=sr_1_28?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-28,"McCain Mozzaluna Breaded Mozzarella Cheese - Appetizer, 4 Pound -- 2 per case.",1 rating,McCain,null,5.0 out of 5 stars,See all 1 customer reviews,https://www.amazon.com/McCain-Mozzaluna-Breaded-Mozzarella-Cheese/product-reviews/B00B04DKVG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1580712797-15,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Ore Ida Triangle Potato Patty, 2 Ounce -- 6 per case.",https://www.amazon.com/McCain-Triangle-Potato-Patty-Ounce/dp/B00B0431VK/ref=sr_1_35?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-35,"McCain Ore Ida Triangle Potato Patty, 2 Ounce -- 6 per case.",null,McCain,null,null,null,,0
1580712903-44,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Foods, Inc.; 92-3285  06/03/94",https://www.amazon.com/McCain-Foods-Inc-92-3285-06-ebook/dp/B00C12XA2U/ref=sr_1_5?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-5,Kindle Edition,null,null,null,null,null,,0
1580712765-7,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Brew City Beer Battered Zucchini Slice - Appetizer, 3 Pound -- 8 per case.",https://www.amazon.com/McCain-Brew-Battered-Zucchini-Slice/dp/B00B04C2JW/ref=sr_1_43?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-43,"McCain Brew City Beer Battered Zucchini Slice - Appetizer, 3 Pound -- 8 per case.",null,McCain,null,null,null,,0
1580712913-47,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Ore Ida Golden Potato Patty, 2.25 Ounce -- 120 per case.",https://www.amazon.com/McCain-Golden-Potato-Patty-Ounce/dp/B00B0445OW/ref=sr_1_2?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-2,"McCain Ore Ida Golden Potato Patty, 2.25 Ounce -- 120 per case.",3 ratings,McCain,null,5.0 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/McCain-Golden-Potato-Patty-Ounce/product-reviews/B00B0445OW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
1580712812-19,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"McCain Moores Flour Flipt Flour Coated Onion Ring, 2.5 Pound -- 4 per case.",https://www.amazon.com/McCain-Moores-Flour-Flipt-Coated/dp/B00B04AD4I/ref=sr_1_31?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-31,"McCain Moores Flour Flipt Flour Coated Onion Ring, 2.5 Pound -- 4 per case.",null,McCain,null,null,null,,0
1580712769-8,https://www.amazon.com/s?k=mccain+foods&crid=1NWSH2KASS4HN&sprefix=mccain%2Caps%2C373&ref=nb_sb_ss_i_1_6,"Golden Crisp Breaded Mozzarella Cheese Sticks, 2 Pound -- 6 per case.",https://www.amazon.com/Golden-Breaded-Mozzarella-Cheese-Sticks/dp/B00E0SJH6Q/ref=sr_1_42?crid=1NWSH2KASS4HN&keywords=mccain+foods&qid=1580712734&sprefix=mccain%2Caps%2C373&sr=8-42,"Golden Crisp Breaded Mozzarella Cheese Sticks, 2 Pound -- 6 per case.",null,McCain,null,null,null,,0
