web-scraper-order,web-scraper-start-url,product_link,product_link-href,Name,Number_Reviews,Manufacturer,Price,Star_Rating,Review_Link,Review_Link_Href,Review_Count
1580708054-183,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbuck,https://www.amazon.com/Starbuck-Patrick-Huard/dp/B00DU719GO/ref=sr_1_36?keywords=starbucks&qid=1580707979&sr=8-36,null,null,null,null,null,See all 66 customer reviews,https://www.amazon.com/Starbuck-Patrick-Huard/product-reviews/B00DU719GO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,66
1580708034-179,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Reusable Hot Cup Collection Pack Of 6 W/Lids 16 oz Summer 2019,https://www.amazon.com/Starbucks-Reusable-Collection-Pack-Summer/dp/B07R9PG13V/ref=sr_1_40?keywords=starbucks&qid=1580707979&sr=8-40,Starbucks Reusable Hot Cup Collection Pack Of 6 W/Lids 16 oz Summer 2019,93 ratings,Starbucks,$51.34 ,4.5 out of 5 stars,See all 39 customer reviews,https://www.amazon.com/Starbucks-Reusable-Collection-Pack-Summer/product-reviews/B07R9PG13V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,39
1580708139-202,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Fall 2019 Matte Black Studded Plastic Tumbler Cold Cup Limited Edition 24 oz,https://www.amazon.com/Starbucks-Studded-Plastic-Tumbler-Limited/dp/B07X3NNJXY/ref=sr_1_16?keywords=starbucks&qid=1580707979&sr=8-16,Starbucks Fall 2019 Matte Black Studded Plastic Tumbler Cold Cup Limited Edition 24 oz,47 ratings,Starbucks,$99.94 ,4.5 out of 5 stars,See all 15 customer reviews,https://www.amazon.com/Starbucks-Studded-Plastic-Tumbler-Limited/product-reviews/B07X3NNJXY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,15
1580708178-210,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Gift Cards, Multipack of 5",https://www.amazon.com/Starbucks-Gift-Cards-Multipack-20/dp/B00OV98F44/ref=sr_1_8?keywords=starbucks&qid=1580707979&sr=8-8,"Starbucks Gift Cards, Multipack of 5",144 ratings,Starbucks,$100.00 ,4.7 out of 5 stars,See all 81 customer reviews,https://www.amazon.com/Starbucks-Gift-Cards-Multipack-20/product-reviews/B00OV98F44/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,81
1580708094-192,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks 2020 YEAR OF THE RAT Ceramic Coffee Mug, 14 Fl Oz",https://www.amazon.com/Starbucks-2020-YEAR-Ceramic-Coffee/dp/B083JPC4T5/ref=sr_1_27?keywords=starbucks&qid=1580707979&sr=8-27,"Starbucks 2020 YEAR OF THE RAT Ceramic Coffee Mug, 14 Fl Oz",null,Starbucks,$34.95 ,null,null,,0
1580708039-180,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Holiday Confetti Ceramic White and Gold 12 Ounce Beverage Tumbler,https://www.amazon.com/Starbucks-Holiday-Confetti-Ceramic-Beverage/dp/B081QQWZQC/ref=sr_1_39?keywords=starbucks&qid=1580707979&sr=8-39,Starbucks 2019 Holiday Confetti Ceramic White and Gold 12 Ounce Beverage Tumbler,null,Starbucks,$31.00 ,null,null,,0
1580708081-189,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks 2020 Coffee And Tea Refill Double Walled Stainless Steel Tumbler, 16 Fl Oz",https://www.amazon.com/Starbucks-Coffee-Refill-Stainless-Tumbler/dp/B081S5ZLQW/ref=sr_1_30?keywords=starbucks&qid=1580707979&sr=8-30,"Starbucks 2020 Coffee And Tea Refill Double Walled Stainless Steel Tumbler, 16 Fl Oz",7 ratings,Starbucks,$59.94 ,4.4 out of 5 stars,See all 4 customer reviews,https://www.amazon.com/Starbucks-Coffee-Refill-Stainless-Tumbler/product-reviews/B081S5ZLQW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4
1580708013-175,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Veranda Blend Single Cup Coffee K-Cups for Keurig Brewers, 32 Count",https://www.amazon.com/Starbucks-Veranda-Single-Coffee-Brewers/dp/B076LZT6VT/ref=sr_1_44?keywords=starbucks&qid=1580707979&sr=8-44,"Starbucks Veranda Blend Single Cup Coffee K-Cups for Keurig Brewers, 32 Count",29 ratings,Starbucks,$29.79 ,4.9 out of 5 stars,See all 18 customer reviews,https://www.amazon.com/Starbucks-Veranda-Single-Coffee-Brewers/product-reviews/B076LZT6VT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,18
1580708024-177,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Rose Gold Iridescent Cold Cup 24 Ounce,https://www.amazon.com/Starbucks-Rose-Gold-Iridescent-Ounce/dp/B07QZGGMFZ/ref=sr_1_42?keywords=starbucks&qid=1580707979&sr=8-42,Starbucks Rose Gold Iridescent Cold Cup 24 Ounce,66 ratings,Starbucks,$69.99 ,4.7 out of 5 stars,See all 45 customer reviews,https://www.amazon.com/Starbucks-Rose-Gold-Iridescent-Ounce/product-reviews/B07QZGGMFZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,45
1580708000-173,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Holiday 2019 Stainless Steel Cold Cup Tumbler 24oz Silver Black Glitter,https://www.amazon.com/Starbucks-Holiday-Stainless-Tumbler-Glitter/dp/B081FDHF3W/ref=sr_1_46?keywords=starbucks&qid=1580707979&sr=8-46,Starbucks Holiday 2019 Stainless Steel Cold Cup Tumbler 24oz Silver Black Glitter,3 ratings,Starbucks,$30.59 ,4.6 out of 5 stars,See all 2 customer reviews,https://www.amazon.com/Starbucks-Holiday-Stainless-Tumbler-Glitter/product-reviews/B081FDHF3W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2
