web-scraper-order,web-scraper-start-url,product,product-href,Name,Manufacturer,Manufacturer-href,Star_Rating,Star_Rating-href,Number_Reviews,Number_Reviews-href,Price,Review_Link,Review_Link-href,Review_Count
1583911160-49,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,"Smoked Meat Sticks (Bacon, 16oz)",https://www.amazon.com/Smoked-Meat-Sticks-Bacon-16oz/dp/B07JPKMHYT/ref=sr_1_24?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-24,"Smoked Meat Sticks (Bacon, 16oz)",Iowa Smokehouse,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Iowa+Smokehouse,5.0 out of 5 stars,javascript:void(0),1 rating,https://www.amazon.com/Smoked-Meat-Sticks-Bacon-16oz/dp/B07JPKMHYT/ref=sr_1_24?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-24#customerReviews,null,See all reviews from the United States,https://www.amazon.com/Smoked-Meat-Sticks-Bacon-16oz/product-reviews/B07JPKMHYT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1583911238-69,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD BACON NATURALLY HICKORY SMOKED POUCH 16 OZ PACK OF 2,https://www.amazon.com/SMITHFIELD-BACON-NATURALLY-HICKORY-SMOKED/dp/B00B78E82A/ref=sr_1_4?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-4,SMITHFIELD BACON NATURALLY HICKORY SMOKED POUCH 16 OZ PACK OF 2,SMITHFIELD At The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+At+The+Neighborhood+Corner+Store,null,,null,,$38.58 ,null,,0
1583911242-70,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD BACON APPLEWOOD SMOKED THICK CUT 24 OZ PACK OF 2,https://www.amazon.com/SMITHFIELD-BACON-APPLEWOOD-SMOKED-THICK/dp/B07M5MQSFZ/ref=sr_1_3?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-3,SMITHFIELD BACON APPLEWOOD SMOKED THICK CUT 24 OZ PACK OF 2,SMITHFIELD at The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+at+The+Neighborhood+Corner+Store,null,,null,,$59.40 ,null,,0
1583911206-61,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,Virginia Cured Hardwood Smoked Bacon (Two 3 lb. Packs),https://www.amazon.com/Virginia-Cured-Hardwood-Smoked-Bacon/dp/B004D4T2FS/ref=sr_1_12?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-12,Virginia Cured Hardwood Smoked Bacon (Two 3 lb. Packs),Smithfield Hams,https://www.amazon.com/Smithfield-Hams/b/ref=bl_dp_s_web_3041308011?ie=UTF8&node=3041308011&field-lbr_brands_browse-bin=Smithfield+Hams,5.0 out of 5 stars,javascript:void(0),1 rating,https://www.amazon.com/Virginia-Cured-Hardwood-Smoked-Bacon/dp/B004D4T2FS/ref=sr_1_12?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-12#customerReviews,$79.99 ,See all reviews from the United States,https://www.amazon.com/Virginia-Cured-Hardwood-Smoked-Bacon/product-reviews/B004D4T2FS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1
1583911193-58,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,"Smithfield Honey Cured Spiral Sliced Half Ham, Fully Cooked, Glazed with Honey, 8-10 lbs.",https://www.amazon.com/Smithfield-Spiral-Sliced-Cooked-Glazed/dp/B004D4T23U/ref=sr_1_15?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-15,"Smithfield Honey Cured Spiral Sliced Half Ham, Fully Cooked, Glazed with Honey, 8-10 lbs.",Smithfield Hams,https://www.amazon.com/Smithfield-Hams/b/ref=bl_dp_s_web_3041308011?ie=UTF8&node=3041308011&field-lbr_brands_browse-bin=Smithfield+Hams,3.3 out of 5 stars,javascript:void(0),6 ratings,https://www.amazon.com/Smithfield-Spiral-Sliced-Cooked-Glazed/dp/B004D4T23U/ref=sr_1_15?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-15#customerReviews,$89.99 ,See all reviews from the United States,https://www.amazon.com/Smithfield-Spiral-Sliced-Cooked-Glazed/product-reviews/B004D4T23U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6
1583911167-51,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD SAUSAGE ANDOUILLE FLAVOR 14 OZ PACK OF 3,https://www.amazon.com/SMITHFIELD-SAUSAGE-ANDOUILLE-FLAVOR-PACK/dp/B00BSYI68K/ref=sr_1_22?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-22,SMITHFIELD SAUSAGE ANDOUILLE FLAVOR 14 OZ PACK OF 3,SMITHFIELD At The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+At+The+Neighborhood+Corner+Store,null,,null,,$36.45 ,null,,0
1583911186-56,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,"Jimmy Dean Formed Sausage Patties, 2 Ounce -- 84 per case.",https://www.amazon.com/Jimmy-Formed-Sausage-Patties-Ounce/dp/B00B04ADQQ/ref=sr_1_17?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-17,"Jimmy Dean Formed Sausage Patties, 2 Ounce -- 84 per case.",Sara Lee,https://www.amazon.com/Sara-Lee/b/ref=bl_dp_s_web_3040879011?ie=UTF8&node=3040879011&field-lbr_brands_browse-bin=Sara+Lee,4.5 out of 5 stars,javascript:void(0),11 ratings,https://www.amazon.com/Jimmy-Formed-Sausage-Patties-Ounce/dp/B00B04ADQQ/ref=sr_1_17?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-17#customerReviews,$69.06 ,See all reviews from the United States,https://www.amazon.com/Jimmy-Formed-Sausage-Patties-Ounce/product-reviews/B00B04ADQQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,11
1583911235-68,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD BACON CHERRYWOOD SMOKED THICK CUT 24 OZ PACK OF 2,https://www.amazon.com/SMITHFIELD-BACON-CHERRYWOOD-SMOKED-THICK/dp/B073DRWVT9/ref=sr_1_5?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-5,SMITHFIELD BACON CHERRYWOOD SMOKED THICK CUT 24 OZ PACK OF 2,SMITHFIELD at The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+at+The+Neighborhood+Corner+Store,null,,null,,null,null,,0
1583911171-52,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD SAUSAGE LINKS PREMIUM PORK 12 OZ PACK OF 2,https://www.amazon.com/SMITHFIELD-SAUSAGE-LINKS-PREMIUM-PORK/dp/B07H6T46KY/ref=sr_1_21?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-21,SMITHFIELD SAUSAGE LINKS PREMIUM PORK 12 OZ PACK OF 2,SMITHFIELD At The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+At+The+Neighborhood+Corner+Store,null,,null,,$31.18 ,null,,0
1583911175-53,https://www.amazon.com/s?k=smithfield+bacon&i=grocery&crid=3B2MTFR4NM6RB&sprefix=smithfield+bacon%2Caps%2C385&ref=nb_sb_ss_c_2_16,SMITHFIELD SAUSAGE PATTIES PREMIUM PORK HOMETOWN ORIGINAL12 OZ PACK OF 2,https://www.amazon.com/SMITHFIELD-SAUSAGE-PATTIES-HOMETOWN-ORIGINAL12/dp/B07H6VGV19/ref=sr_1_20?crid=3B2MTFR4NM6RB&keywords=smithfield+bacon&qid=1583911151&s=grocery&sprefix=smithfield+bacon%2Caps%2C385&sr=1-20,SMITHFIELD SAUSAGE PATTIES PREMIUM PORK HOMETOWN ORIGINAL12 OZ PACK OF 2,SMITHFIELD At The Neighborhood Corner Store,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=SMITHFIELD+At+The+Neighborhood+Corner+Store,null,,null,,$31.18 ,null,,0
