web-scraper-order,web-scraper-start-url,product_link,product_link-href,Manufacturer,Manufacturer-href,Star_Rating,Star_Rating-href,Review_Link,Review_Link-href,Name,Price,Number_Reviews,Number_Reviews-href,Review_Count
1583909070-34,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Fully Cooked Smoked Ham Meal from Kansas City Steaks,https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/dp/B075RCWPT5/ref=sr_1_15?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-15,Kansas City Steak Company,https://www.amazon.com/Kansas-City-Steak-Company/b/ref=bl_dp_s_web_20513629011?ie=UTF8&node=20513629011&field-lbr_brands_browse-bin=Kansas+City+Steak+Company,5.0 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/product-reviews/B075RCWPT5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fully Cooked Smoked Ham Meal from Kansas City Steaks,$139.85 ,2 ratings,https://www.amazon.com/Cooked-Smoked-Kansas-City-Steaks/dp/B075RCWPT5/ref=sr_1_15?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-15#customerReviews,2
1583908957-7,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Hearty Breakfast Meats from The Swiss Colony,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/dp/B005NDX84E/ref=sr_1_42?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-42,The Swiss Colony,https://www.amazon.com/The-Swiss-Colony/b/ref=bl_dp_s_web_20518402011?ie=UTF8&node=20518402011&field-lbr_brands_browse-bin=The+Swiss+Colony,4.2 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/product-reviews/B005NDX84E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hearty Breakfast Meats from The Swiss Colony,$39.99 ,29 ratings,https://www.amazon.com/Hearty-Breakfast-Meats-Swiss-Colony/dp/B005NDX84E/ref=sr_1_42?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-42#customerReviews,29
1583909052-29,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,"365 Everyday Value Spiral Sliced Ham, 7-10 lbs",https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/dp/B07ZFXJZQ2/ref=sr_1_20?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-20,Meat,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Meat,3.1 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/product-reviews/B07ZFXJZQ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"365 Everyday Value Spiral Sliced Ham, 7-10 lbs",null,4 ratings,https://www.amazon.com/Everyday-Value-Spiral-Sliced-7-10-lbs/dp/B07ZFXJZQ2/ref=sr_1_20?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-20#customerReviews,4
1583908943-4,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,1 (5 lbs.) Duroc Boneless Country Ham,https://www.amazon.com/Omaha-Steaks-Duroc-Boneless-Country/dp/B07NY3RBX1/ref=sr_1_45?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-45,Omaha Steaks,https://www.amazon.com/Omaha-Steaks/b/ref=bl_dp_s_web_2597765011?ie=UTF8&node=2597765011&field-lbr_brands_browse-bin=Omaha+Steaks,4.0 out of 5 stars,javascript:void(0),null,,1 (5 lbs.) Duroc Boneless Country Ham,null,1 rating,https://www.amazon.com/Omaha-Steaks-Duroc-Boneless-Country/dp/B07NY3RBX1/ref=sr_1_45?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-45#customerReviews,1
1583908980-13,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Half Spiral Ham & Whole Smoked Turkey (8-10 lbs. each),https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/dp/B004D503FK/ref=sr_1_36?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-36,Smithfield Hams,https://www.amazon.com/Smithfield-Hams/b/ref=bl_dp_s_web_3041308011?ie=UTF8&node=3041308011&field-lbr_brands_browse-bin=Smithfield+Hams,5.0 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/product-reviews/B004D503FK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Half Spiral Ham & Whole Smoked Turkey (8-10 lbs. each),$159.99 ,3 ratings,https://www.amazon.com/Half-Spiral-Whole-Smoked-Turkey/dp/B004D503FK/ref=sr_1_36?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-36#customerReviews,3
1583909062-32,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Applewood Smoked Bone In Ham 12 - 14 LB.,https://www.amazon.com/Applewood-Smoked-Bone-Ham-12/dp/B00028LG58/ref=sr_1_17?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-17,North Country Smokehouse,https://www.amazon.com/North-Country-Smokehouse/b/ref=bl_dp_s_web_20442098011?ie=UTF8&node=20442098011&field-lbr_brands_browse-bin=North+Country+Smokehouse,4.6 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Applewood-Smoked-Bone-Ham-12/product-reviews/B00028LG58/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Applewood Smoked Bone In Ham 12 - 14 LB.,$82.97 ,8 ratings,https://www.amazon.com/Applewood-Smoked-Bone-Ham-12/dp/B00028LG58/ref=sr_1_17?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-17#customerReviews,8
1583909011-19,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Boneless Holiday Ham by Double L Ranch Meats | Hickory Smoked | Fully Cooked & Ready to serve 8-9 Lbs. (Serves 20-25),https://www.amazon.com/Double-L-Ranch-Meats-Holiday/dp/B076CVV4R2/ref=sr_1_30?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-30,Double L Ranch Meats,https://www.amazon.com/Double-L-Ranch-Meats/b/ref=bl_dp_s_web_15957222011?ie=UTF8&node=15957222011&field-lbr_brands_browse-bin=Double+L+Ranch+Meats,4.1 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Boneless-Holiday-Double-Ranch-Meats/product-reviews/B076CVV4R2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Boneless Holiday Ham by Double L Ranch Meats | Hickory Smoked | Fully Cooked & Ready to serve 8-9 Lbs. (Serves 20-25),$59.97 ,6 ratings,https://www.amazon.com/Double-L-Ranch-Meats-Holiday/dp/B076CVV4R2/ref=sr_1_30?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-30#customerReviews,6
1583909088-39,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Smithfield Cooked Honey Glazed Spiral Sliced Ham - Weight: 8-10 lbs,https://www.amazon.com/Smithfield-Cooked-Glazed-Spiral-Sliced/dp/B007GC3NKY/ref=sr_1_10?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-10,Smithfield Hams,https://www.amazon.com/Smithfield-Hams/b/ref=bl_dp_s_web_3041308011?ie=UTF8&node=3041308011&field-lbr_brands_browse-bin=Smithfield+Hams,5.0 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Smithfield-Cooked-Glazed-Spiral-Sliced/product-reviews/B007GC3NKY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Smithfield Cooked Honey Glazed Spiral Sliced Ham - Weight: 8-10 lbs,$99.99 ,1 rating,https://www.amazon.com/Smithfield-Cooked-Glazed-Spiral-Sliced/dp/B007GC3NKY/ref=sr_1_10?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-10#customerReviews,1
1583909021-21,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Alewel's Spiral Cut Half Ham,https://www.amazon.com/Alewels-Spiral-Cut-Half-Ham/dp/B01LW8544M/ref=sr_1_28?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-28,Alewel's Country Meats,https://www.amazon.com/Alewels-Country-Meats/b/ref=bl_dp_s_web_15592699011?ie=UTF8&node=15592699011&field-lbr_brands_browse-bin=Alewel%27s+Country+Meats,4.3 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Alewels-Spiral-Cut-Half-Ham/product-reviews/B01LW8544M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Alewel's Spiral Cut Half Ham,$74.99 ,14 ratings,https://www.amazon.com/Alewels-Spiral-Cut-Half-Ham/dp/B01LW8544M/ref=sr_1_28?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-28#customerReviews,14
1583908973-11,https://www.amazon.com/s?k=smithfield+ham&crid=36ZTZ7DK6N7R3&sprefix=smithfield+ham%2Caps%2C377&ref=nb_sb_ss_i_1_14,Serrano Ham (shoulder) Bone in from Spain 10 - 12 lb / FREE HAM HOLDER & Knife,https://www.amazon.com/Serrano-Ham-shoulder-Bone-Spain/dp/B07JW6CMJ9/ref=sr_1_38?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-38,My spanish Ham,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=My+spanish+Ham,4.3 out of 5 stars,javascript:void(0),See all reviews from the United States,https://www.amazon.com/Serrano-Ham-shoulder-Bone-Spain/product-reviews/B07JW6CMJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Serrano Ham (shoulder) Bone in from Spain 10 - 12 lb / FREE HAM HOLDER & Knife,$165.86 ,7 ratings,https://www.amazon.com/Serrano-Ham-shoulder-Bone-Spain/dp/B07JW6CMJ9/ref=sr_1_38?crid=36ZTZ7DK6N7R3&keywords=smithfield+ham&qid=1583908921&sprefix=smithfield+ham%2Caps%2C377&sr=8-38#customerReviews,7
