words,count,features
gift,10,themes_keyword
breakfast,7,themes_keyword
quality,3,themes_keyword
dad,3,themes_keyword
order,3,themes_keyword
friend,3,themes_keyword
ice,3,themes_keyword
size,3,themes_keyword
year,3,themes_keyword
dinner,3,themes_keyword
money,2,themes_keyword
box,2,themes_keyword
mom,2,themes_keyword
day,2,themes_keyword
stuff,2,themes_keyword
parent,2,themes_keyword
morning,2,themes_keyword
problem,1,themes_keyword
husband,1,themes_keyword
sausage,1,themes_keyword
eye,1,themes_keyword
week,1,themes_keyword
family,1,themes_keyword
baby,1,themes_keyword
variety,1,themes_keyword
holiday,1,themes_keyword
minute,1,themes_keyword
forest,1,themes_keyword
month,1,themes_keyword
purchase,1,themes_keyword
snack,1,themes_keyword
smile,1,themes_keyword
eat,1,themes_keyword
date,1,themes_keyword
door,1,themes_keyword
delivery,1,themes_keyword
meal,1,themes_keyword
food,1,themes_keyword
value,1,themes_keyword
taste,1,themes_keyword
,19,emotion_keyword
good,3,emotion_keyword
sent,2,emotion_keyword
arrived,2,emotion_keyword
loved,2,emotion_keyword
great,2,emotion_keyword
indicate,2,emotion_keyword
got,1,emotion_keyword
planned,1,emotion_keyword
interesting,1,emotion_keyword
know,1,emotion_keyword
made,1,emotion_keyword
went,1,emotion_keyword
cook,1,emotion_keyword
served,1,emotion_keyword
plan,1,emotion_keyword
big,1,emotion_keyword
save,1,emotion_keyword
love,1,emotion_keyword
happy,1,emotion_keyword
came,1,emotion_keyword
bought,1,emotion_keyword
teriffic,1,emotion_keyword
thrown,1,emotion_keyword
feel,1,emotion_keyword
packaged,1,emotion_keyword
send,1,emotion_keyword
received,1,emotion_keyword
waste,1,emotion_keyword
eating,1,emotion_keyword
gave,1,emotion_keyword
Setting,18,theme_groups
Occasion,14,theme_groups
Packaging/Delivery,6,theme_groups
Customization,5,theme_groups
Consumer,4,theme_groups
Cost,4,theme_groups
Quality,3,theme_groups
Complements,3,theme_groups
Place,2,theme_groups
Health,1,theme_groups
Taste,1,theme_groups
Preparation/Consumption,1,theme_groups
happy,11,emotion_groups
neutral,10,emotion_groups
delighted,3,emotion_groups
sad,1,emotion_groups
hopeful,1,emotion_groups
excited,1,emotion_groups
disappointed,1,emotion_groups
