words,count,features
gift,756,themes_keyword
people,48,themes_keyword
mug,44,themes_keyword
order,39,themes_keyword
purchase,38,themes_keyword
teacher,37,themes_keyword
day,36,themes_keyword
friend,36,themes_keyword
birthday,35,themes_keyword
size,33,themes_keyword
paper,31,themes_keyword
delivery,31,themes_keyword
balance,31,themes_keyword
problem,31,themes_keyword
quality,31,themes_keyword
work,30,themes_keyword
pack,30,themes_keyword
money,29,themes_keyword
value,27,themes_keyword
service,26,themes_keyword
holiday,26,themes_keyword
family,25,themes_keyword
year,24,themes_keyword
review,24,themes_keyword
price,24,themes_keyword
lover,22,themes_keyword
buy,21,themes_keyword
amount,19,themes_keyword
son,19,themes_keyword
package,19,themes_keyword
minute,18,themes_keyword
customer,17,themes_keyword
issue,17,themes_keyword
kid,14,themes_keyword
packaging,14,themes_keyword
wife,13,themes_keyword
school,13,themes_keyword
color,13,themes_keyword
baby,12,themes_keyword
box,11,themes_keyword
trip,11,themes_keyword
college,11,themes_keyword
appreciation,10,themes_keyword
return,10,themes_keyword
location,10,themes_keyword
house,10,themes_keyword
look,10,themes_keyword
logo,10,themes_keyword
month,10,themes_keyword
fit,9,themes_keyword
drink,9,themes_keyword
sister,9,themes_keyword
law,9,themes_keyword
set,8,themes_keyword
woman,8,themes_keyword
wait,8,themes_keyword
stuff,8,themes_keyword
brother,8,themes_keyword
staff,8,themes_keyword
office,8,themes_keyword
discount,8,themes_keyword
help,8,themes_keyword
mom,7,themes_keyword
dollar,7,themes_keyword
surprise,7,themes_keyword
waste,7,themes_keyword
student,7,themes_keyword
party,7,themes_keyword
lid,7,themes_keyword
girl,7,themes_keyword
child,7,themes_keyword
company,7,themes_keyword
time,7,themes_keyword
cash,7,themes_keyword
smile,6,themes_keyword
beverage,6,themes_keyword
eye,6,themes_keyword
home,6,themes_keyword
convenience,6,themes_keyword
husband,6,themes_keyword
travel,6,themes_keyword
door,6,themes_keyword
show,5,themes_keyword
food,5,themes_keyword
shopping,5,themes_keyword
morning,5,themes_keyword
season,5,themes_keyword
fan,5,themes_keyword
car,5,themes_keyword
cheap,4,themes_keyword
access,4,themes_keyword
city,4,themes_keyword
shop,4,themes_keyword
mother,4,themes_keyword
tip,4,themes_keyword
week,4,themes_keyword
tea,4,themes_keyword
addict,4,themes_keyword
worker,4,themes_keyword
night,4,themes_keyword
vacation,4,themes_keyword
event,3,themes_keyword
drive,3,themes_keyword
point,3,themes_keyword
caffeine,3,themes_keyword
fee,3,themes_keyword
age,3,themes_keyword
type,3,themes_keyword
snow,3,themes_keyword
hour,3,themes_keyword
spot,3,themes_keyword
study,3,themes_keyword
father,3,themes_keyword
treat,3,themes_keyword
purpose,3,themes_keyword
center,3,themes_keyword
teen,3,themes_keyword
deal,3,themes_keyword
bag,3,themes_keyword
snack,3,themes_keyword
gas,3,themes_keyword
place,3,themes_keyword
cost,3,themes_keyword
mocha,3,themes_keyword
check,3,themes_keyword
corner,2,themes_keyword
system,2,themes_keyword
date,2,themes_keyword
run,2,themes_keyword
everyday,2,themes_keyword
tear,2,themes_keyword
walk,2,themes_keyword
chocolate,2,themes_keyword
post,2,themes_keyword
visit,2,themes_keyword
website,2,themes_keyword
team,2,themes_keyword
game,2,themes_keyword
comment,2,themes_keyword
colleague,2,themes_keyword
man,2,themes_keyword
pocket,2,themes_keyword
experience,2,themes_keyword
world,2,themes_keyword
way,2,themes_keyword
summer,2,themes_keyword
response,2,themes_keyword
sip,2,themes_keyword
town,2,themes_keyword
area,2,themes_keyword
count,2,themes_keyword
fund,2,themes_keyword
planet,2,themes_keyword
business,2,themes_keyword
hope,2,themes_keyword
state,2,themes_keyword
retailer,2,themes_keyword
heart,2,themes_keyword
maker,2,themes_keyword
moment,2,themes_keyword
feel,2,themes_keyword
latte,2,themes_keyword
offer,2,themes_keyword
chain,2,themes_keyword
enjoy,2,themes_keyword
care,2,themes_keyword
inch,2,themes_keyword
track,2,themes_keyword
worth,2,themes_keyword
hotel,2,themes_keyword
anniversary,2,themes_keyword
pour,1,themes_keyword
iced,1,themes_keyword
cake,1,themes_keyword
station,1,themes_keyword
energy,1,themes_keyword
conversation,1,themes_keyword
wedding,1,themes_keyword
change,1,themes_keyword
storage,1,themes_keyword
view,1,themes_keyword
addiction,1,themes_keyword
dinner,1,themes_keyword
parking,1,themes_keyword
community,1,themes_keyword
dozen,1,themes_keyword
shot,1,themes_keyword
nightmare,1,themes_keyword
shelf,1,themes_keyword
police,1,themes_keyword
country,1,themes_keyword
refill,1,themes_keyword
juice,1,themes_keyword
benefit,1,themes_keyword
tumbler,1,themes_keyword
combo,1,themes_keyword
quantity,1,themes_keyword
meeting,1,themes_keyword
expensive,1,themes_keyword
figure,1,themes_keyword
report,1,themes_keyword
couch,1,themes_keyword
nature,1,themes_keyword
room,1,themes_keyword
cafe,1,themes_keyword
parent,1,themes_keyword
cent,1,themes_keyword
tomorrow,1,themes_keyword
delight,1,themes_keyword
water,1,themes_keyword
space,1,themes_keyword
