review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
Five Stars.  Husband loves this flavor,"Reviewed in the United States on April 19, 2016",Amazon,1,"['Five Stars.', 'Husband loves this flavor']",0,"Five Stars., ",11,
Five Stars.  Husband loves this flavor,"Reviewed in the United States on April 19, 2016",Amazon,1,"['Five Stars.', 'Husband loves this flavor']",1,"Husband loves this flavor, ",25,
Five Stars.  Thanks for the prompt delivery.  Items were as described and I will order again,"Reviewed in the United States on April 26, 2017",Amazon,2,"['Five Stars.', 'Thanks for the prompt delivery.', 'Items were as described and I will order again']",0,"Five Stars., ",11,
Five Stars.  Thanks for the prompt delivery.  Items were as described and I will order again,"Reviewed in the United States on April 26, 2017",Amazon,2,"['Five Stars.', 'Thanks for the prompt delivery.', 'Items were as described and I will order again']",1,"Thanks for the prompt delivery., ",31,
Five Stars.  Thanks for the prompt delivery.  Items were as described and I will order again,"Reviewed in the United States on April 26, 2017",Amazon,2,"['Five Stars.', 'Thanks for the prompt delivery.', 'Items were as described and I will order again']",2,"Items were as described and I will order again, ",46,
Four Stars.  Good coffee,"Reviewed in the United States on September 2, 2016",Amazon,3,"['Four Stars.', 'Good coffee']",0,"Four Stars., ",11,
Four Stars.  Good coffee,"Reviewed in the United States on September 2, 2016",Amazon,3,"['Four Stars.', 'Good coffee']",1,"Good coffee, ",11,
"Sent Wrong Product.  This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.  Even it had the right type, they sent a different quantity much less than we ordered.  I noted they have good ratings overall, but not from us. Our order was obviously not read correctly nor was it double-checked before shipping.  Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life. just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control. ","Reviewed in the United States on February 21, 2014",Amazon,4,"['Sent Wrong Product.', 'This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.', 'Even it had the right type, they sent a different quantity much less than we ordered.', 'I noted they have good ratings overall, but not from us.', 'Our order was obviously not read correctly nor was it double-checked before shipping.', 'Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life.', ""just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control.""]",0,"Sent Wrong Product., ",19,
"Sent Wrong Product.  This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.  Even it had the right type, they sent a different quantity much less than we ordered.  I noted they have good ratings overall, but not from us. Our order was obviously not read correctly nor was it double-checked before shipping.  Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life. just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control. ","Reviewed in the United States on February 21, 2014",Amazon,4,"['Sent Wrong Product.', 'This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.', 'Even it had the right type, they sent a different quantity much less than we ordered.', 'I noted they have good ratings overall, but not from us.', 'Our order was obviously not read correctly nor was it double-checked before shipping.', 'Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life.', ""just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control.""]",1,"This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine., ",130,
"Sent Wrong Product.  This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.  Even it had the right type, they sent a different quantity much less than we ordered.  I noted they have good ratings overall, but not from us. Our order was obviously not read correctly nor was it double-checked before shipping.  Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life. just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control. ","Reviewed in the United States on February 21, 2014",Amazon,4,"['Sent Wrong Product.', 'This seller must have looked very quickly at our order as they sent us a product for an entirely different type of coffee machine.', 'Even it had the right type, they sent a different quantity much less than we ordered.', 'I noted they have good ratings overall, but not from us.', 'Our order was obviously not read correctly nor was it double-checked before shipping.', 'Having to wait for a coffee order to be corrected is hardly a huge problem in the big scheme of life.', ""just sloppy shipping on the seller's part and I am hoping this review will help tighten up their quality control.""]",2,"Even it had the right type, they sent a different quantity much less than we ordered., ",85,
