review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc,sentiment_new
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",0,"The French Do It Better., ",24,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",1,"had a gift for melodic composition., ",35,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",2,"Indeed after had heard one of Delibes ballets he is said to have remarked that if I had known that this music existed I would not have written Lake., ",151,,Neutral
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",3,"Obviously vocal compositions were created in the French language and for the French voice., ",90,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",4,"Some of his most beautiful melodic writing for the voice is evident in Lakme., ",77,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",5,"Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century., ",79,,Negative
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",6,"She had a beautiful voice sweet and pleasing to the listener., ",62,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",7,"In this Opera set in India the five principle singers are French and sing the original French composition., ",106,,Positive
"The French Do It Better.  had a gift for melodic composition.  Indeed after had heard one of Delibes' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".  Obviously vocal compositions were created in the French language and for the French voice.  Some of his most beautiful melodic writing for the voice is evident in Lakme.  Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.  She had a beautiful voice; sweet and pleasing to the listener.  In this Opera set in India the five principle singers are French and sing the original French composition.  The vocal sound is just more pleasing sung by the native French in their own language. ","Reviewed in the United States on November 22, 2014",Amazon,1,"['The French Do It Better.', 'had a gift for melodic composition.', 'Indeed after had heard one of Delibes\' ballets he is said to have remarked that ""if I had known that this music existed I would not have written Lake"".', 'Obviously vocal compositions were created in the French language and for the French voice.', 'Some of his most beautiful melodic writing for the voice is evident in Lakme.', 'Arguably Mady Mesple was THE French coloratura of the middle Twentieth Century.', 'She had a beautiful voice; sweet and pleasing to the listener.', 'In this Opera set in India the five principle singers are French and sing the original French composition.', 'The vocal sound is just more pleasing sung by the native French in their own language.']",8,"The vocal sound is just more pleasing sung by the native French in their own language., ",86,,Positive
"track 2.  Like most people that don't have much opera background, I was steered to buying this for the ""Flower Duet"" track 2.  I recommend reading about the play on any website that describes the story.  It gave me more appreciation for the CD since I understood what all the singing was about. ha Its a wonderful story, read it, listen and enjoy. ","Reviewed in the United States on September 14, 2007",Amazon,2,"['track 2.', 'Like most people that don\'t have much opera background, I was steered to buying this for the ""Flower Duet"" track 2.', 'I recommend reading about the play on any website that describes the story.', 'It gave me more appreciation for the CD since I understood what all the singing was about.', 'ha Its a wonderful story, read it, listen and enjoy.']",0,"track ., ",8,,Neutral
