brand,product_name,price,num_of_reviews,review_links,review_id,pos_reviews,neg_reviews,pos_review_count,neg_review_count,total_review_count
Lakme,"Lakme Teknia Ultra Clair Shampoo, 10.2 Fl Oz",$23.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Clair-Shampoo/product-reviews/B005J5CLQ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0,See all 23 positive reviews,See all 3 critical reviews,23,3,26
Lakme,"Lakme Teknia Color Stay Conditioner, 10.2 Fl Oz",$29.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Color-Stay-Conditioner/product-reviews/B0056ZBVFC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1,See all 8 positive reviews,See the critical review,8,0,8
Lakme,"Lakme Teknia Deep Care Shampoo, 10.2 Fl Oz",$23.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Deep-Care-Shampoo/product-reviews/B002C08Z30/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,,,0,0,0
Lakme,"Lakme Teknia Deep Care Conditioner, 3.4 Fl Oz",$15.40,,,3,0,0,0,0,0
Lakme,"Lakme K. Therapy Active Prevention Lotion, 4.2 Fl Oz",$45.60,,,4,0,0,0,0,0
Lakme,"Lakme Teknia Ultra Clair Shampoo, 10.2 Fl Oz",$23.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Clair-Shampoo/product-reviews/B005J5CLQ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,See all 23 positive reviews,See all 3 critical reviews,23,3,26
Lakme,"Lakme Teknia Color Stay Conditioner, 10.2 Fl Oz",$29.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Color-Stay-Conditioner/product-reviews/B0056ZBVFC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6,See all 8 positive reviews,See the critical review,8,0,8
Lakme,"Lakme Teknia Deep Care Shampoo, 10.2 Fl Oz",$23.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Deep-Care-Shampoo/product-reviews/B002C08Z30/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,,,0,0,0
Lakme,"Lakme Teknia Ultra Clair Treatment, 8.5 Fl Oz",$40.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Clair-Treatment/product-reviews/B005J5N0EE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,8,,,0,0,0
,VOLOOM Shine On Dry Conditioner - Leave In Conditioner For Color Treated Hair Or Hair Conditioner Spray For Hydrating And Volumizing Natural Hair - 4.5 Oz,$19.95,See all reviews from the United States,https://www.amazon.com/VOLOOM-Shine-Dry-Conditioner-Volumizing/product-reviews/B07RKYDGM5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,,,0,0,0
Lakme,"Lakme Teknia Deep Care Shampoo, 3.4 Fl Oz",$14.50,,,10,0,0,0,0,0
,,,,,11,0,0,0,0,0
Lakme,"Lakme Teknia Ultra Copper Treatment, 8.5 Fl Oz",$40.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Copper-Treatment/product-reviews/B005J5MU6S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,12,See all 4 positive reviews,See all 4 critical reviews,4,4,8
Lakme,"Lakme K. Therapy Active Fortifying Mask, 8.8 Fl Oz",$41.50,See all reviews from the United States,https://www.amazon.com/Lakme-Therapy-Active-Fortifying-Mask/product-reviews/B0016NREPE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13,,,0,0,0
Lakme,"Lakme Teknia Ultra Violet Treatment, 8.5 Fl Oz",$40.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Violet-Treatment/product-reviews/B00JQKGCAW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,14,,,0,0,0
Lakme,"Lakme K. Therapy Active Prevention Lotion, 4.2 Fl Oz",$45.60,,,15,0,0,0,0,0
Lakme,"Lakme K. Therapy Purifying Balancing Shampoo, 10.6 Fl Oz",$27.70,See all reviews from the United States,https://www.amazon.com/Lakme-Therapy-Purifying-Balancing-Shampoo/product-reviews/B0016NREBI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,16,,,0,0,0
,,,See all reviews from the United States,https://www.amazon.com/Delibes-Sutherland-Orchestre-National-Monte-Carlo/product-reviews/B0015RD2HU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,,,0,0,0
Lakme,"Lakme K. Therapy Repair Conditioning Fluid, 10.2 Fl Oz",$33.60,See all reviews from the United States,https://www.amazon.com/Lakme-Therapy-Repair-Conditioning-Fluid/product-reviews/B0016KVHCS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,18,,,0,0,0
,Lakme Sun Expert Fairness - UV Lotion - SPF 24 PA++(60 ml),,,,19,0,0,0,0,0
Lakme,"Lakme Teknia Ultra Brown Treatment, 8.5 Fl Oz",$40.90,See all reviews from the United States,https://www.amazon.com/Lakme-Teknia-Ultra-Brown-Treatment/product-reviews/B005J5PR4A/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,20,See all 7 positive reviews,See all 3 critical reviews,7,3,10
,,,See all reviews from the United States,https://www.amazon.com/Lakme-Flower-Duet/product-reviews/B00VJT1T6U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,21,,,0,0,0
Lakme,"Lakme Teknia Color Stay Treatment, 8.5 Fl Oz",$35.80,,,22,0,0,0,0,0
