review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,usa news android apps google play,60,Negative,"['android', 'apps', 'news', 'play']",android|apps|news|play,0,android,android,7,,
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,usa news android apps google play,60,Negative,"['android', 'apps', 'news', 'play']",android|apps|news|play,1,apps,apps,4,,
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,usa news android apps google play,60,Negative,"['android', 'apps', 'news', 'play']",android|apps|news|play,2,news,news,4,,
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,usa news android apps google play,60,Negative,"['android', 'apps', 'news', 'play']",android|apps|news|play,3,play,play,4,,
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,end mutual funds combined assets,95,Neutral,"['assets', 'funds']",assets|funds,0,assets,asset,5,,
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,end mutual funds combined assets,95,Neutral,"['assets', 'funds']",assets|funds,1,funds,fund,4,,
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,end mutual funds combined assets,98,Neutral,"['assets', 'funds']",assets|funds,0,assets,asset,5,,
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,end mutual funds combined assets,98,Neutral,"['assets', 'funds']",assets|funds,1,funds,fund,4,,
Mutual Fund in USA News About the U. S.  Score httpbit. ly1VnjObt,2016-01-26 19:25:02,Twitter,4,"['Mutual Fund in USA News About the U. S.  Score httpbit.', 'ly1VnjObt']",0,usa news,55,Neutral,['news'],news,0,news,news,4,,
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",0,usa news android apps,55,Negative,"['android', 'apps', 'news']",android|apps|news,0,android,android,7,,
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",0,usa news android apps,55,Negative,"['android', 'apps', 'news']",android|apps|news,1,apps,apps,4,,
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",0,usa news android apps,55,Negative,"['android', 'apps', 'news']",android|apps|news,2,news,news,4,,
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",0,cashback rs,19,Neutral,['cashback'],cashback,0,cashback,cashback,8,,
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",1,use code payments new users,57,Positive,"['code', 'payments', 'users']",code|payments|users,0,code,code,4,,
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",1,use code payments new users,57,Positive,"['code', 'payments', 'users']",code|payments|users,1,payments,payment,7,use,use
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",1,use code payments new users,57,Positive,"['code', 'payments', 'users']",code|payments|users,2,users,user,4,use,use
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",2,app,12,Neutral,['app'],app,0,app,app,3,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,0,bodybuilding,bodybuilding,12,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,1,dumbbell,dumbbell,8,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,2,exercises,exercise,8,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,3,press,press,5,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,4,supplements,supplement,10,,
"Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit. ly1StzHQD",2015-10-30 23:07:29,Twitter,7,"['Bodybuilding and Supplements , Exercises Workouts Dumbbell Press httpbit.', 'ly1StzHQD']",0,bodybuilding supplements exercises workouts dumbbell press,73,Negative,"['bodybuilding', 'dumbbell', 'exercises', 'press', 'supplements', 'workouts']",bodybuilding|dumbbell|exercises|press|supplements|workouts,5,workouts,workout,7,,
Mutual Fund In India Android Apps on Google Play httpbit. ly1Z7IJn2,2015-10-30 23:00:59,Twitter,8,"['Mutual Fund In India Android Apps on Google Play httpbit.', 'ly1Z7IJn2']",0,mutual fund google play,57,Negative,"['fund', 'play']",fund|play,0,fund,fund,4,mutual,mutual
Mutual Fund In India Android Apps on Google Play httpbit. ly1Z7IJn2,2015-10-30 23:00:59,Twitter,8,"['Mutual Fund In India Android Apps on Google Play httpbit.', 'ly1Z7IJn2']",0,mutual fund google play,57,Negative,"['fund', 'play']",fund|play,1,play,play,4,,
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2,2015-10-19 17:03:07,Twitter,9,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,0,cashback,cashback,8,use,use
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2,2015-10-19 17:03:07,Twitter,9,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,1,code,code,4,,
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2,2015-10-19 17:03:07,Twitter,9,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,2,payments,payment,7,use,use
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2,2015-10-19 17:03:07,Twitter,9,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,3,users,user,4,use,use
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2,2015-10-19 17:03:07,Twitter,9,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2']",2,app,12,Neutral,['app'],app,0,app,app,3,,
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  Now,2015-10-18 02:52:17,Twitter,10,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'Now']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,0,cashback,cashback,8,use,use
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  Now,2015-10-18 02:52:17,Twitter,10,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'Now']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,1,code,code,4,,
Rs. 100 Cashback on Use code HI100 for all your payments Only New Users .  Now,2015-10-18 02:52:17,Twitter,10,"['Rs.', '100 Cashback on Use code HI100 for all your payments Only New Users .', 'Now']",1,cashback use code payments new users,69,Positive,"['cashback', 'code', 'payments', 'users']",cashback|code|payments|users,2,payments,payment,7,use,use
