review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len,relation_word,emotion_keyword
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,0,brands,brand,5,includes,includes
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,1,family,family,6,,
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,2,ham,ham,3,,
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,3,hotdogs,hotdog,6,favorite,favorite
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,4,products,product,7,includes,includes
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",0,family brands includes products favorite ham delicious hotdogs plantbased protein,124,Positive,"['brands', 'family', 'ham', 'hotdogs', 'products', 'protein']",brands|family|ham|hotdogs|products|protein,5,protein,protein,7,includes,includes
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",1,check full brand portfolio,34,Positive,"['brand', 'portfolio']",brand|portfolio,0,brand,brand,5,,
DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .  Check out our full brand portfolio,2020-03-12 02:48:09,Twitter,1,"['DYK Smithfield Foods family of brands includes products from your favorite ham to delicious hotdogs and plantbased protein .', 'Check out our full brand portfolio']",1,check full brand portfolio,34,Positive,"['brand', 'portfolio']",brand|portfolio,1,portfolio,portfolio,9,check,check
"Women at Smithfield have a wide variety of opportunities available to them and our EBRG , Womens Connect recently visited Caddock Middle Schools career fair share their stories with students .  Our diverse paths got the excited about",2020-03-10 03:27:01,Twitter,2,"['Women at Smithfield have a wide variety of opportunities available to them and our EBRG , Womens Connect recently visited Caddock Middle Schools career fair share their stories with students .', 'Our diverse paths got the excited about']",0,women wide variety opportunities available recently visited caddock middle schools career fair share stories students,192,Positive,"['career', 'opportunities', 'schools', 'share', 'stories', 'students', 'variety', 'women']",career|opportunities|schools|share|stories|students|variety|women,0,career,career,6,visited,visited
"Women at Smithfield have a wide variety of opportunities available to them and our EBRG , Womens Connect recently visited Caddock Middle Schools career fair share their stories with students .  Our diverse paths got the excited about",2020-03-10 03:27:01,Twitter,2,"['Women at Smithfield have a wide variety of opportunities available to them and our EBRG , Womens Connect recently visited Caddock Middle Schools career fair share their stories with students .', 'Our diverse paths got the excited about']",0,women wide variety opportunities available recently visited caddock middle schools career fair share stories students,192,Positive,"['career', 'opportunities', 'schools', 'share', 'stories', 'students', 'variety', 'women']",career|opportunities|schools|share|stories|students|variety|women,1,opportunities,opportunity,11,visited,visited
