review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
"This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers . ",2020-02-04 22:29:32,Twitter,1,"['This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers .']",0,"This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers ., ",114,
"5 drinks to get know us 1 .  Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte",2020-02-21 00:58:02,Twitter,2,"['5 drinks to get know us 1 .', 'Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte']",0," drinks to get know us  ., ",27,
"5 drinks to get know us 1 .  Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte",2020-02-21 00:58:02,Twitter,2,"['5 drinks to get know us 1 .', 'Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte']",1,"Coffee   NITRO COLD BREW  Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte, ",94,
"My Starbucks today had surprise beautiful coloring , and message on the sleeve .  Many thanks to student at Clow Elementary who created this Such an important Really made my day",2020-02-19 09:51:42,Twitter,3,"['My Starbucks today had surprise beautiful coloring , and message on the sleeve .', 'Many thanks to student at Clow Elementary who created this Such an important Really made my day']",0,"My Starbucks today had surprise beautiful coloring , and message on the sleeve ., ",80,
"My Starbucks today had surprise beautiful coloring , and message on the sleeve .  Many thanks to student at Clow Elementary who created this Such an important Really made my day",2020-02-19 09:51:42,Twitter,3,"['My Starbucks today had surprise beautiful coloring , and message on the sleeve .', 'Many thanks to student at Clow Elementary who created this Such an important Really made my day']",1,"Many thanks to student at Clow Elementary who created this Such an important Really made my day, ",95,
"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .  Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS",2020-02-18 00:10:00,Twitter,4,"['When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .', 'Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS']",0,"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure ., ",155,
"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .  Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS",2020-02-18 00:10:00,Twitter,4,"['When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .', 'Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS']",1,"Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS, ",53,
Surround yourself with goodness .  CoconutmilkLatte,2020-02-17 22:30:01,Twitter,5,"['Surround yourself with goodness .', 'CoconutmilkLatte']",0,"Surround yourself with goodness ., ",33,
Surround yourself with goodness .  CoconutmilkLatte,2020-02-17 22:30:01,Twitter,5,"['Surround yourself with goodness .', 'CoconutmilkLatte']",1,"CoconutmilkLatte, ",16,
"Weve got your Monday motivation in tall , grande and venti . ",2020-02-17 18:30:00,Twitter,6,"['Weve got your Monday motivation in tall , grande and venti .']",0,"Weve got your Monday motivation in tall , grande and venti ., ",60,
Music to our ears .  Best Valentines Day ever,2020-02-15 05:05:05,Twitter,7,"['Music to our ears .', 'Best Valentines Day ever']",0,"Music to our ears ., ",19,
Music to our ears .  Best Valentines Day ever,2020-02-15 05:05:05,Twitter,7,"['Music to our ears .', 'Best Valentines Day ever']",1,"Best Valentines Day ever, ",24,
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,8,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",0,"isnt just about couples ., ",25,
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,8,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",1,"its love , something we need more of in this world ., ",52,
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,8,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",2,"Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread, ",140,
All you need is love .  And coffee,2020-02-14 23:30:00,Twitter,9,"['All you need is love .', 'And coffee']",0,"All you need is love ., ",22,
All you need is love .  And coffee,2020-02-14 23:30:00,Twitter,9,"['All you need is love .', 'And coffee']",1,"And coffee, ",10,
"Not sure who needs to hear this today , but you are loved . ",2020-02-14 21:30:01,Twitter,10,"['Not sure who needs to hear this today , but you are loved .']",0,"Not sure who needs to hear this today , but you are loved ., ",59,
Ready to find your perfect match Perfect beverage that is . ,2020-02-14 18:30:01,Twitter,11,['Ready to find your perfect match Perfect beverage that is .'],0,"Ready to find your perfect match Perfect beverage that is ., ",59,
"today Well see you at two .  Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores",2020-02-13 18:30:01,Twitter,12,"['today Well see you at two .', 'Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores']",0,"today Well see you at two ., ",27,
"today Well see you at two .  Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores",2020-02-13 18:30:01,Twitter,12,"['today Well see you at two .', 'Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores']",1,"Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free  from pm participating US Canada stores, ",133,
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,13,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",0,"Its almost the day ., ",20,
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,13,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",1,"No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me, ",108,
