review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc,sentiment_new
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News Android Apps on Google Play httpbit., ",60,,Negative
Mutual Fund in USA News Android Apps on Google Play httpbit. ly1VnjObt,2016-02-02 23:32:27,Twitter,1,"['Mutual Fund in USA News Android Apps on Google Play httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,,Neutral
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,"the end of  , there were over , mutual funds in United States with combined assets ., ",95,,Neutral
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",1," trillion httpbit., ",19,,Neutral
"the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:27:02,Twitter,2,"['the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",2,"lyVnjObt, ",9,,Neutral
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",0,"At the end of  , there were over , mutual funds in United States with combined assets ., ",98,,Neutral
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",1," trillion httpbit., ",19,,Neutral
"At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18. 2 trillion httpbit. ly1VnjObt",2016-01-26 19:26:00,Twitter,3,"['At the end of 2015 , there were over 15,000 mutual funds in United States with combined assets 18.', '2 trillion httpbit.', 'ly1VnjObt']",2,"lyVnjObt, ",9,,Neutral
Mutual Fund in USA News About the U. S.  Score httpbit. ly1VnjObt,2016-01-26 19:25:02,Twitter,4,"['Mutual Fund in USA News About the U. S.  Score httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News About the U. S.  Score httpbit., ",55,,Neutral
Mutual Fund in USA News About the U. S.  Score httpbit. ly1VnjObt,2016-01-26 19:25:02,Twitter,4,"['Mutual Fund in USA News About the U. S.  Score httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,,Neutral
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",0,"Mutual Fund in USA News Android Apps on Google httpbit., ",55,,Negative
Mutual Fund in USA News Android Apps on Google httpbit. ly1VnjObt,2016-01-26 19:19:26,Twitter,5,"['Mutual Fund in USA News Android Apps on Google httpbit.', 'ly1VnjObt']",1,"lyVnjObt, ",9,,Neutral
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",0," Cashback on Rs., ",19,,Neutral
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",1," Use code HI for all your payments Only New Users ., ",57,,Positive
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",2,"App httpbit., ",12,,Neutral
100 Cashback on Rs. 100 Use code HI100 for all your payments Only New Users .  App httpbit. ly1Z7IJn2 httpbit. ly1Mz9zkB,2015-11-08 22:18:08,Twitter,6,"['100 Cashback on Rs.', '100 Use code HI100 for all your payments Only New Users .', 'App httpbit.', 'ly1Z7IJn2 httpbit.', 'ly1Mz9zkB']",3,"lyZIJn httpbit., ",18,,Neutral
