review,date,source,review_id,sentences,sentence_id,sentence,sent_len,sentiment_new,themes,themes_bow,variable,themes_relation_extraction,themes_keyword,theme_len
"Because we could all use a dose of pawsitivity .  on IG Toco minipoodletoco , ollie. the. goodboy",2020-04-24 21:45:12,Twitter,1,"['Because we could all use a dose of pawsitivity .', 'on IG Toco minipoodletoco , ollie.', 'the.', 'goodboy']",0,could use dose pawsitivity,48,Neutral,"['dose', 'pawsitivity']",dose|pawsitivity,0,dose,dose,4
"Because we could all use a dose of pawsitivity .  on IG Toco minipoodletoco , ollie. the. goodboy",2020-04-24 21:45:12,Twitter,1,"['Because we could all use a dose of pawsitivity .', 'on IG Toco minipoodletoco , ollie.', 'the.', 'goodboy']",0,could use dose pawsitivity,48,Neutral,"['dose', 'pawsitivity']",dose|pawsitivity,1,pawsitivity,pawsitivity,11
"Because we could all use a dose of pawsitivity .  on IG Toco minipoodletoco , ollie. the. goodboy",2020-04-24 21:45:12,Twitter,1,"['Because we could all use a dose of pawsitivity .', 'on IG Toco minipoodletoco , ollie.', 'the.', 'goodboy']",1,minipoodletoco ollie,34,Negative,"['minipoodletoco', 'ollie']",minipoodletoco|ollie,0,minipoodletoco,minipoodletoco,14
"Because we could all use a dose of pawsitivity .  on IG Toco minipoodletoco , ollie. the. goodboy",2020-04-24 21:45:12,Twitter,1,"['Because we could all use a dose of pawsitivity .', 'on IG Toco minipoodletoco , ollie.', 'the.', 'goodboy']",1,minipoodletoco ollie,34,Negative,"['minipoodletoco', 'ollie']",minipoodletoco|ollie,1,ollie,ollie,5
"Because we could all use a dose of pawsitivity .  on IG Toco minipoodletoco , ollie. the. goodboy",2020-04-24 21:45:12,Twitter,1,"['Because we could all use a dose of pawsitivity .', 'on IG Toco minipoodletoco , ollie.', 'the.', 'goodboy']",3,goodboy,7,Neutral,['goodboy'],goodboy,0,goodboy,goodboy,7
"Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians",2020-04-23 19:29:09,Twitter,2,"['Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians']",0,photos akilahandthebeee instagram christyann stvimresidency mercymusicians,126,Negative,"['akilahandthebeee', 'instagram', 'mercymusicians', 'photos', 'stvimresidency']",akilahandthebeee|instagram|mercymusicians|photos|stvimresidency,0,akilahandthebeee,akilahandthebeee,16
"Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians",2020-04-23 19:29:09,Twitter,2,"['Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians']",0,photos akilahandthebeee instagram christyann stvimresidency mercymusicians,126,Negative,"['akilahandthebeee', 'instagram', 'mercymusicians', 'photos', 'stvimresidency']",akilahandthebeee|instagram|mercymusicians|photos|stvimresidency,1,instagram,instagram,9
"Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians",2020-04-23 19:29:09,Twitter,2,"['Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians']",0,photos akilahandthebeee instagram christyann stvimresidency mercymusicians,126,Negative,"['akilahandthebeee', 'instagram', 'mercymusicians', 'photos', 'stvimresidency']",akilahandthebeee|instagram|mercymusicians|photos|stvimresidency,2,mercymusicians,mercymusicians,14
"Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians",2020-04-23 19:29:09,Twitter,2,"['Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians']",0,photos akilahandthebeee instagram christyann stvimresidency mercymusicians,126,Negative,"['akilahandthebeee', 'instagram', 'mercymusicians', 'photos', 'stvimresidency']",akilahandthebeee|instagram|mercymusicians|photos|stvimresidency,3,photos,photo,5
"Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians",2020-04-23 19:29:09,Twitter,2,"['Photos LR Facebook , akilahandthebeee Instagram christyann20 stvimresidency morganferguson lscarolinas ninerz86 mercymusicians']",0,photos akilahandthebeee instagram christyann stvimresidency mercymusicians,126,Negative,"['akilahandthebeee', 'instagram', 'mercymusicians', 'photos', 'stvimresidency']",akilahandthebeee|instagram|mercymusicians|photos|stvimresidency,4,stvimresidency,stvimresidency,14
