tweetId,time,text,replies,retweets,likes,entries,keyword
1237850320991956997,2020-03-12 02:48:09,#DYK: Smithfield Foods family of brands includes products from your favorite #ham to delicious #hotdogs and #plantbased protein. Check out our full #brand portfolio:  https://www.smithfieldfoods.com/trusted-brands pic.twitter.com/kmxPjGwruh,0,1,6,"{'hashtags': ['#DYK', '#ham', '#hotdogs', '#plantbased', '#brand'], 'urls': ['https://www.smithfieldfoods.com/trusted-brands'], 'photos': ['https://pbs.twimg.com/media/ES26TTNUcAA8F0u.jpg'], 'videos': []}",smithfieldfoods
1237135327074095104,2020-03-10 03:27:01,"Women at Smithfield have a wide variety of opportunities available to them and our EBRG, Women’s Connect recently visited Caddock Middle School’s career fair to share their stories with students. Our diverse stories and #career paths got the students excited about their #future!pic.twitter.com/8lqnxz65c4",0,1,2,"{'hashtags': ['#career', '#future'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ESswBhpXYAEvSHO.jpg'], 'videos': []}",smithfieldfoods
1237016609694384129,2020-03-09 19:35:17,"It’s #NationalMeatballDay! Celebrate with our Carando brand of meatballs and give yourself a head-start on your homemade Italian meals. Try in the following flavors of these delicious #meatballs: Abruzzese Italian, Sicilian Italian, and Mozzarella Rustica.  https://jillcataldo.com/carando-meatballs/ …pic.twitter.com/o3O3rIn2tN",0,0,2,"{'hashtags': ['#NationalMeatballDay', '#meatballs'], 'urls': ['https://jillcataldo.com/carando-meatballs/'], 'photos': ['https://pbs.twimg.com/media/ESrEB7vXkAIe6Jf.jpg'], 'videos': []}",smithfieldfoods
1236667896329318402,2020-03-08 20:29:37,Happy #IWD2020! Thank you to all the #women at Smithfield Foods for furthering our mission to produce “Good food. Responsibly.®”pic.twitter.com/Bq8LnNad28,0,0,3,"{'hashtags': ['#IWD2020', '#women'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ESmG42VXgAAj681.jpg'], 'videos': []}",smithfieldfoods
1236013307363983360,2020-03-07 01:08:31,"Every day, we are proud of our global #employees that comprise the Smithfield Family. From our headquarters in VA, to UT, SD, Poland & beyond, our people are essential. Your continued dedication & hard work allow us to produce “Good food. Responsibly. ®” #EmployeeAppreciationDaypic.twitter.com/o95wvSSxPQ",0,0,4,"{'hashtags': ['#employees', '#EmployeeAppreciationDay'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ESczT3WXcAACZ4t.jpg', 'https://pbs.twimg.com/media/ESczT3IXYAAkMvI.jpg', 'https://pbs.twimg.com/media/ESczT31WAAUIhg9.jpg'], 'videos': []}",smithfieldfoods
1234886307370934272,2020-03-03 22:30:13,"Looking to grow your career? As a global company, Smithfield Foods offers a variety of opportunities. From developing marketing campaigns to raising animals with care, you’ll have the chance to drive innovation. Learn more here:  https://www.smithfieldfoods.com/careers .https://youtu.be/6P3gv48_fEc ",0,0,2,"{'hashtags': [], 'urls': ['https://www.smithfieldfoods.com/careers'], 'photos': [], 'videos': []}",smithfieldfoods
1233461647655743489,2020-02-29 00:09:08,"Really enjoyed my visit to Joe Baca Middle School in Bloomington, CA this morning. It’s always a privilege to get to talk to students and share my story. Best part was handing over a $10,000 check from @SmithfieldFoods. Can’t beat that! Onto @ACSupdates...

@SmithfieldBrandpic.twitter.com/MEe0RuyXIF",2,12,122,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ER4i1AzXsAES-kk.jpg', 'https://pbs.twimg.com/media/ER4i1AvXsAAcIAB.jpg', 'https://pbs.twimg.com/media/ER4i1BMWoAAA4DU.jpg', 'https://pbs.twimg.com/media/ER4i1D-W4AEd5RF.jpg'], 'videos': []}",smithfieldfoods
1234586283940270080,2020-03-03 02:38:02,.@SmithfieldFoods announces an additional $45M investment in Monarch Bioenergy joint venture with @RoesleinAE on manure-to-#energy projects. The expansion will help Smithfield reduce #GHG emissions 25% by 2025: http://bit.ly/38ftzVv ,0,2,2,"{'hashtags': ['#energy', '#GHG'], 'urls': [], 'photos': [], 'videos': []}",smithfieldfoods
1233803608971468802,2020-02-29 22:47:57,#LeapYear is a fitting theme for 2020 as we look back on leaps forward we have made in our commitment #sustainability. We were the first major #protein company to announce a far-reaching greenhouse gas emission reduction goal. https://youtu.be/uTeHBnR6tk8 ,0,1,3,"{'hashtags': ['#LeapYear', '#sustainability', '#protein'], 'urls': [], 'photos': [], 'videos': []}",smithfieldfoods
1233383204175917058,2020-02-28 18:57:25,"We recognize the value that veterans bring to our workforce and we are proud to serve them, as they have served us. Our Smithfield Salutes veterans Employee Business Resource Group aims to help them make a seamless transition to civilian life. Learn more:  https://www.smithfieldfoods.com/careers/veterans …pic.twitter.com/wK25Wh6L9T",0,0,0,"{'hashtags': [], 'urls': ['https://www.smithfieldfoods.com/careers/veterans'], 'photos': ['https://pbs.twimg.com/media/ER3bejjXkAAPock.jpg'], 'videos': []}",smithfieldfoods
