<<<<<<< HEAD
theme_groups,delighted,excited,happy,hopeful,neutral,sad
Complements,0,0,0,0,1,0
Consumer,1,1,3,2,4,1
Health,0,0,2,0,3,0
Occasion,0,0,0,2,1,0
Other Drinks,0,0,0,0,3,0
Packaging/Delivery,0,0,1,0,0,0
Place,0,0,0,1,1,0
Preparation/Consumption,0,0,1,0,0,0
Quality,0,0,1,0,0,0
Setting,2,0,1,0,1,0
Taste,0,0,1,0,0,0
=======
theme_groups,angry,excited,happy,hopeful,neutral,sad
Complements,0,0,0,0,1,0
Consumer,0,1,3,3,6,2
Customization,0,0,0,0,1,0
Health,0,0,0,0,4,0
Occasion,0,0,0,2,1,0
Other Drinks,0,0,1,0,1,0
Packaging/Delivery,0,0,1,0,0,0
Place,0,0,0,1,2,0
Preparation/Consumption,0,0,1,0,3,0
Quality,0,0,1,0,0,0
Setting,0,0,1,0,3,1
Social_Chat,0,0,0,0,1,0
Taste,1,0,0,0,2,0
Utilities,0,0,1,0,0,0
>>>>>>> amazon_reviewlink
