group_flag,groups,X,Y,count
Themes,Brand,-0.4178587947470504,-0.17968155561210797,13
Themes,Complements,-0.14073060889785446,0.5918566885242779,18
Themes,Consumer,-0.12544586901723367,-0.2636846594254322,38
Themes,Health,-0.3250693397576841,-0.11567125639984654,21
Themes,Occasion,-0.50354924810383,-0.15373621503818663,38
Themes,Packaging/Delivery,2.849497244530081,-1.0048018253653965,4
Themes,Place,-0.5816887627699001,-0.8139711340128853,11
Themes,Preparation/Consumption,-0.09019885870135098,1.088897601189447,1
Themes,Seasonality,1.1339042408800903,-0.909386479689141,8
Themes,Setting,0.7224731115819879,0.42362960146883666,28
Themes,Taste,0.188169506266748,1.2809284988262313,4
Themes,Utilities,-0.09019885870135098,1.088897601189447,3
Emotions,angry,-0.21814838755585303,0.31883851016710146,2
Emotions,delighted,1.7384248145853725,-0.5171079454918511,5
Emotions,excited,-0.8253806451211304,-0.298727627068672,1
Emotions,happy,-0.35487740214727626,-0.41889945875248685,23
Emotions,hopeful,0.2846260033609001,0.758039036225796,6
Emotions,neutral,-0.055028631634829406,0.5603867222248688,14
Emotions,sad,-0.2056215805844579,-0.512370443002026,1
