words,count,features
food,12,themes_keyword
holiday,10,themes_keyword
family,10,themes_keyword
protein,8,themes_keyword
day,6,themes_keyword
season,6,themes_keyword
company,5,themes_keyword
team,5,themes_keyword
year,5,themes_keyword
student,4,themes_keyword
brand,4,themes_keyword
meal,4,themes_keyword
community,3,themes_keyword
business,3,themes_keyword
country,3,themes_keyword
support,3,themes_keyword
gas,3,themes_keyword
month,3,themes_keyword
career,3,themes_keyword
flavor,3,themes_keyword
industry,3,themes_keyword
variety,2,themes_keyword
visit,2,themes_keyword
woman,2,themes_keyword
service,2,themes_keyword
weather,2,themes_keyword
recipe,2,themes_keyword
people,2,themes_keyword
energy,2,themes_keyword
resource,2,themes_keyword
heart,2,themes_keyword
world,2,themes_keyword
check,2,themes_keyword
sausage,2,themes_keyword
pound,2,themes_keyword
home,2,themes_keyword
school,2,themes_keyword
night,2,themes_keyword
impact,2,themes_keyword
help,2,themes_keyword
dish,2,themes_keyword
investment,2,themes_keyword
quality,1,themes_keyword
glass,1,themes_keyword
dinner,1,themes_keyword
friend,1,themes_keyword
square,1,themes_keyword
show,1,themes_keyword
farm,1,themes_keyword
education,1,themes_keyword
party,1,themes_keyword
road,1,themes_keyword
tonight,1,themes_keyword
serve,1,themes_keyword
promise,1,themes_keyword
consumer,1,themes_keyword
game,1,themes_keyword
purpose,1,themes_keyword
taste,1,themes_keyword
work,1,themes_keyword
snack,1,themes_keyword
child,1,themes_keyword
share,1,themes_keyword
training,1,themes_keyword
disease,1,themes_keyword
manager,1,themes_keyword
purchase,1,themes_keyword
health,1,themes_keyword
office,1,themes_keyword
pizza,1,themes_keyword
count,1,themes_keyword
state,1,themes_keyword
street,1,themes_keyword
trip,1,themes_keyword
mix,1,themes_keyword
tour,1,themes_keyword
relationship,1,themes_keyword
facility,1,themes_keyword
farmer,1,themes_keyword
fit,1,themes_keyword
date,1,themes_keyword
value,1,themes_keyword
breakfast,1,themes_keyword
car,1,themes_keyword
morning,1,themes_keyword
wine,1,themes_keyword
,57,emotion_keyword
need,3,emotion_keyword
enjoy,2,emotion_keyword
give,2,emotion_keyword
supporting,2,emotion_keyword
thank,2,emotion_keyword
learn,2,emotion_keyword
produce,2,emotion_keyword
share,1,emotion_keyword
spreading,1,emotion_keyword
caddock,1,emotion_keyword
allow,1,emotion_keyword
grants,1,emotion_keyword
wonderful,1,emotion_keyword
calls,1,emotion_keyword
came,1,emotion_keyword
donated,1,emotion_keyword
aims,1,emotion_keyword
farmers,1,emotion_keyword
preparing,1,emotion_keyword
come,1,emotion_keyword
celebrates,1,emotion_keyword
dedicated,1,emotion_keyword
fighting,1,emotion_keyword
convert,1,emotion_keyword
put,1,emotion_keyword
shrink,1,emotion_keyword
celebrating,1,emotion_keyword
dual,1,emotion_keyword
reduce,1,emotion_keyword
try,1,emotion_keyword
possible,1,emotion_keyword
provides,1,emotion_keyword
says,1,emotion_keyword
continues,1,emotion_keyword
best,1,emotion_keyword
headquarters,1,emotion_keyword
thanked,1,emotion_keyword
brings,1,emotion_keyword
rolled,1,emotion_keyword
hitting,1,emotion_keyword
takes,1,emotion_keyword
looking,1,emotion_keyword
serving,1,emotion_keyword
sirloins,1,emotion_keyword
chilly,1,emotion_keyword
announce,1,emotion_keyword
allows,1,emotion_keyword
womeninscience,1,emotion_keyword
read,1,emotion_keyword
kicking,1,emotion_keyword
states,1,emotion_keyword
bring,1,emotion_keyword
commit,1,emotion_keyword
offers,1,emotion_keyword
ensuring,1,emotion_keyword
drive,1,emotion_keyword
natural,1,emotion_keyword
comprise,1,emotion_keyword
went,1,emotion_keyword
proud,1,emotion_keyword
look,1,emotion_keyword
visited,1,emotion_keyword
includes,1,emotion_keyword
using,1,emotion_keyword
teaming,1,emotion_keyword
travels,1,emotion_keyword
countries,1,emotion_keyword
prepping,1,emotion_keyword
deliver,1,emotion_keyword
grow,1,emotion_keyword
enjoyed,1,emotion_keyword
sharing,1,emotion_keyword
team,1,emotion_keyword
Occasion,28,theme_groups
Consumer,26,theme_groups
Setting,24,theme_groups
Complements,17,theme_groups
Health,17,theme_groups
Brand,13,theme_groups
Place,10,theme_groups
Seasonality,8,theme_groups
Cost,5,theme_groups
Packaging/Delivery,4,theme_groups
Taste,4,theme_groups
Utilities,3,theme_groups
Customization,3,theme_groups
Quality,3,theme_groups
Other Drinks,1,theme_groups
Preparation/Consumption,1,theme_groups
happy,17,emotion_groups
neutral,13,emotion_groups
hopeful,5,emotion_groups
delighted,5,emotion_groups
angry,2,emotion_groups
excited,1,emotion_groups
sad,1,emotion_groups
